full_name,pdes,q,ad,a,e,i,om,w,tp,moid,per,per_y,t_jup,pr_class,dt_class,neo,pha
142348 (2002 RX211),142348,1.119929798,3.00995401,2.064941904,0.457645856,6.069804014,96.63381879,324.3422851,2460208.536,0.145496,1083.827542,2.967358089,3.634,Asteroid,AMO,Y,N
523611 (2005 UY5),523611,1.297578464,3.156201691,2.226890078,0.417313644,7.133214253,56.51179779,261.9802731,2460777.48,0.316648,1213.798502,3.323199184,3.516,Asteroid,AMO,Y,N
519307 (2011 EF15),519307,1.280746872,3.33276462,2.306755746,0.444784358,0.255024892,358.1251566,233.8144987,2459569.037,0.269187,1279.678412,3.503568547,3.448,Asteroid,AMO,Y,N
529752 (2010 MR),529752,1.162161081,3.74205089,2.452105986,0.526055934,3.326646847,289.1295999,70.77959126,2459746.574,0.168542,1402.514252,3.839874748,3.288,Asteroid,AMO,Y,N
613422 (2006 KQ21),613422,1.233427669,3.378667347,2.306047508,0.465133452,6.325726779,179.3855024,164.5700439,2460465.223,0.227839,1279.089112,3.501955133,3.428,Asteroid,AMO,Y,N
242216 (2003 RN10),242216,1.024592468,3.437777859,2.231185164,0.54078555,39.62306016,267.1953461,4.615880371,2460164.378,0.00910369,1217.311843,3.332818186,3.181,Asteroid,AMO,Y,Y
424532 (2008 EZ97),424532,1.269391016,3.553814528,2.411602772,0.473631797,8.478518529,68.74773913,197.2435992,2460083.358,0.256985,1367.908627,3.745129711,3.344,Asteroid,AMO,Y,N
413123 (2001 XS1),413123,1.184464086,4.156238862,2.670351474,0.556438882,10.93879664,266.9098285,164.7555753,2460205.976,0.203521,1593.86329,4.363759863,3.117,Asteroid,AMO,Y,N
161998 (1988 PA),161998,1.277485986,3.018714414,2.1481002,0.405294973,8.224093375,162.1107209,137.6698866,2460004.168,0.281135,1149.95337,3.148400739,3.585,Asteroid,AMO,Y,N
503274 (2015 QE9),503274,1.19683783,1.988508157,1.592672993,0.248535114,11.37096544,135.9280859,321.9644487,2460395.774,0.235381,734.155997,2.010009574,4.318,Asteroid,AMO,Y,N
152942 (2000 FN10),152942,1.052521051,2.823758291,1.938139671,0.45694262,27.07652884,8.166324982,235.4209139,2460557.158,0.179834,985.5440347,2.698272511,3.651,Asteroid,AMO,Y,N
513572 (2010 VX39),513572,1.037294329,2.549672534,1.793483432,0.421631496,11.31090256,77.1134438,15.3579361,2459916.08,0.0595698,877.2926287,2.401896314,3.945,Asteroid,AMO,Y,N
461501 (2003 FT3),461501,1.158695418,4.200207167,2.679451292,0.567562426,4.321575065,181.5381104,84.69726813,2460813.341,0.163806,1602.017393,4.386084582,3.12,Asteroid,AMO,Y,N
520585 Saci (2014 OA2),520585,1.175208975,2.029809827,1.602509401,0.266644567,6.17940388,118.7470323,184.5736217,2460569.218,0.159399,740.9677498,2.028659137,4.311,Asteroid,AMO,Y,N
612556 (2003 OA3),612556,1.176475581,2.434206312,1.805340947,0.348336067,17.67492049,189.6448336,148.3240392,2459993.972,0.202554,886.0072497,2.425755646,3.934,Asteroid,AMO,Y,N
366470 (2002 FD),366470,1.02187919,1.825548149,1.42371367,0.282243886,22.81302952,182.1705853,267.1740302,2460318.671,0.232784,620.4866032,1.698799735,4.58,Asteroid,AMO,Y,N
513776 (2013 AA2),513776,1.297301603,4.426905156,2.862103379,0.546731396,6.858502228,155.6256962,259.6360039,2459750.235,0.335107,1768.58689,4.84212701,3.051,Asteroid,AMO,Y,N
497176 (2004 TQ13),497176,1.292221194,4.060321093,2.676271143,0.517156101,10.47438531,233.1583248,163.3280491,2459665.588,0.304023,1599.166171,4.378278359,3.151,Asteroid,AMO,Y,N
504994 (2011 JU2),504994,1.086037233,2.941719938,2.013878586,0.46072358,56.10787536,47.21175592,301.3141589,2460064.933,0.266351,1043.874654,2.857973043,3.2,Asteroid,AMO,Y,N
461365 (2000 JF1),461365,1.198124953,3.174076562,2.186100757,0.451935164,11.39737315,54.89241701,220.3586927,2459991.711,0.216361,1180.602474,3.232313413,3.514,Asteroid,AMO,Y,N
276392 (2002 XH4),276392,1.172908145,2.043511799,1.608209972,0.270674747,14.52140354,93.44934109,213.7303406,2459866.749,0.183087,744.9250055,2.039493513,4.272,Asteroid,AMO,Y,N
276786 (2004 KD1),276786,1.151368061,2.287250569,1.719309315,0.330331051,10.12566028,271.4669926,9.92760034,2460566.005,0.136362,823.4352433,2.254442829,4.095,Asteroid,AMO,Y,N
163001 (2001 SE170),163001,1.160063186,3.086639116,2.123351151,0.453663995,19.98000113,216.5155464,124.9801914,2460039.861,0.263684,1130.137172,3.094146945,3.521,Asteroid,AMO,Y,N
 15745 Yuliya (1991 PM5),15745,1.281335898,2.15866526,1.720000579,0.255037519,14.42614658,132.5976242,140.6583103,2459949.858,0.296119,823.9318977,2.255802595,4.102,Asteroid,AMO,Y,N
439889 (2000 PG5),439889,1.131424846,3.04229192,2.086858383,0.457833432,6.116198313,309.7482033,358.7326056,2460565.844,0.116237,1101.128223,3.014724773,3.613,Asteroid,AMO,Y,N
326946 (2004 EN20),326946,1.156593993,2.574797052,1.865695522,0.380073555,40.12252313,185.5493384,246.3770494,2460378.218,0.343398,930.8068714,2.548410325,3.636,Asteroid,AMO,Y,N
196256 (2003 EH1),196256,1.191036627,5.05497505,3.123005838,0.618624912,70.86183244,282.9913766,171.3028222,2460759.816,0.211378,2015.847253,5.519088987,2.065,Asteroid,AMO,Y,N
366833 (2005 MC),366833,1.067505686,4.16821852,2.617862103,0.592222339,27.27399787,287.3113484,124.9880171,2459774.53,0.224456,1547.100677,4.235730806,3.004,Asteroid,AMO,Y,N
533011 (2014 AY28),533011,1.022719656,1.828428554,1.425574105,0.282591026,5.709098416,169.5845645,22.68501796,2460477.002,0.0354351,621.7032303,1.702130678,4.649,Asteroid,AMO,Y,Y
523819 (2010 VB72),523819,1.135703014,1.299564215,1.217633614,0.067286744,16.06195771,196.8243271,337.8434479,2460089.749,0.138656,490.7647601,1.343640685,5.201,Asteroid,AMO,Y,N
485051 (2010 CM44),485051,1.198481737,3.434288215,2.316384976,0.482606842,6.282171427,10.73965073,197.1962721,2460470.234,0.196336,1287.699526,3.525529162,3.408,Asteroid,AMO,Y,N
 54401 (2000 LM),54401,1.261692831,2.159487342,1.710590086,0.262422458,18.95327432,240.8413024,67.1036567,2459926.343,0.354228,817.1792926,2.23731497,4.088,Asteroid,AMO,Y,N
101873 (1999 NC5),101873,1.231135385,2.827299561,2.029217473,0.393295494,45.78531749,128.7949807,295.2148432,2460073.573,0.436744,1055.823482,2.890687151,3.365,Asteroid,AMO,Y,N
141078 (2001 XQ30),141078,1.022611124,2.702451971,1.862531547,0.450956347,11.47143216,234.6003916,270.8758387,2459793.711,0.1886,928.440086,2.54193042,3.84,Asteroid,AMO,Y,N
480934 (2003 LX5),480934,1.281820889,4.29671004,2.789265465,0.540445,1.26047347,38.66624964,148.8957794,2459521.977,0.282142,1701.504889,4.6584665,3.097,Asteroid,AMO,Y,N
495168 (2012 HC34),495168,1.125204343,2.579779907,1.852492125,0.392599662,36.32863051,45.13361912,275.0315222,2459858.031,0.420396,920.9434907,2.521405861,3.693,Asteroid,AMO,Y,N
 53110 (1999 AR7),53110,1.29161461,1.99727101,1.64444281,0.214557902,40.62279716,85.42342412,58.21968898,2460524.533,0.408623,770.2409218,2.108804714,3.998,Asteroid,AMO,Y,N
456863 (2007 VX7),456863,1.170894955,2.580932323,1.875913639,0.375826834,16.81786145,243.8637835,105.472195,2459984.558,0.311926,938.4641532,2.56937482,3.839,Asteroid,AMO,Y,N
511002 (2013 MZ5),511002,1.278173589,1.826982352,1.55257797,0.176741128,29.14621427,93.48972854,274.205248,2460131.883,0.459949,706.6080099,1.934587296,4.291,Asteroid,AMO,Y,N
 88264 (2001 KN20),88264,1.177427691,3.119215355,2.148321523,0.451931344,12.06730942,104.9421267,201.4774488,2460157.095,0.172656,1150.131097,3.14888733,3.543,Asteroid,AMO,Y,N
614521 (2009 UK),614521,1.022743217,2.934082265,1.978412741,0.48304861,3.53151191,165.5254523,309.4150804,2460312.291,0.0581435,1016.421346,2.782809983,3.708,Asteroid,AMO,Y,N
 20255 (1998 FX2),20255,1.092135404,3.210133802,2.151134603,0.49229797,9.960705736,180.9353354,17.57370439,2460137.259,0.0998116,1152.390864,3.155074233,3.521,Asteroid,AMO,Y,N
619926 (2006 MA),619926,1.243542489,4.050133554,2.646838021,0.530178092,24.74833494,240.9620361,81.83953366,2460278.89,0.471653,1572.857848,4.306250098,3.064,Asteroid,AMO,Y,N
434051 (2001 UW16),434051,1.120914876,1.607333329,1.364124102,0.178289663,37.60165104,37.02365331,106.6970409,2459921.204,0.239774,581.9413947,1.593268706,4.613,Asteroid,AMO,Y,N
496326 (2013 LB1),496326,1.243541965,3.970594477,2.607068221,0.523011345,31.82859654,262.3686889,313.4735853,2460965.741,0.333615,1537.542116,4.209560892,3.021,Asteroid,AMO,Y,N
418846 (2008 WJ60),418846,1.132581188,2.064961099,1.598771144,0.291592676,16.69323993,259.412553,170.0213898,2459949.145,0.149454,738.3765209,2.021564739,4.27,Asteroid,AMO,Y,N
108519 (2001 LF),108519,1.168935138,2.038097424,1.603516281,0.271017606,16.39488624,267.2607931,343.8014912,2460197.76,0.159677,741.6662005,2.030571391,4.27,Asteroid,AMO,Y,N
 10302 (1989 ML),10302,1.098607219,1.447040047,1.272823633,0.136873962,4.378592567,104.2794979,183.6066348,2460298.952,0.0816704,524.5063766,1.436020196,5.065,Asteroid,AMO,Y,N
248818 (2006 SZ217),248818,1.195334924,2.150326467,1.672830695,0.28544178,29.22337273,241.3559098,163.0749589,2460302.394,0.216428,790.2716641,2.163645898,4.059,Asteroid,AMO,Y,N
606939 (2019 SD3),606939,1.250252247,1.874514108,1.562383177,0.199778732,19.00231787,191.1658303,137.591675,2460144.269,0.285915,713.3123743,1.952942845,4.346,Asteroid,AMO,Y,N
329390 (2001 YP2),329390,1.040995981,2.961909378,2.00145268,0.479879794,27.94558637,92.61894748,288.7308095,2460454.87,0.263485,1034.228298,2.831562761,3.561,Asteroid,AMO,Y,N
163694 (2003 DP13),163694,1.20583349,4.075220237,2.640526864,0.543336026,9.817501191,326.6833091,283.0930627,2460639.27,0.26269,1567.235686,4.290857458,3.149,Asteroid,AMO,Y,N
481984 Cernunnos (2009 KL2),481984,1.165978576,3.232275931,2.199127253,0.469799406,9.458997955,173.7133239,165.8187567,2459868.131,0.161922,1191.170606,3.261247381,3.498,Asteroid,AMO,Y,N
  7236 (1987 PA),7236,1.201575549,4.247453963,2.724514756,0.558976311,16.32963414,308.5006592,337.9421425,2460111.716,0.202211,1642.601342,4.497197378,3.061,Asteroid,AMO,Y,N
339492 (2005 GQ21),339492,1.11928543,1.733415046,1.426350238,0.21528009,47.02755963,203.2435689,143.633007,2459902.967,0.159958,622.2110152,1.703520918,4.345,Asteroid,AMO,Y,N
447795 (2007 TH19),447795,1.247423688,3.768554478,2.507989083,0.502619969,2.274416473,86.34628071,194.9572217,2459952.48,0.230594,1450.730994,3.971884993,3.274,Asteroid,AMO,Y,N
480004 (2014 KD91),480004,1.067208742,3.637945906,2.352577324,0.546366136,32.24912888,202.8319846,234.2822267,2460369.529,0.216264,1317.996591,3.608478004,3.164,Asteroid,AMO,Y,N
535148 (2014 XR6),535148,1.21150449,3.964681308,2.588092899,0.531892966,27.1340962,67.95697764,70.79599253,2460075.542,0.42813,1520.786395,4.163686228,3.073,Asteroid,AMO,Y,N
480824 (1999 JO6),480824,1.298897724,3.861020995,2.57995936,0.496543339,27.85381411,64.32303715,250.9478937,2460527.302,0.486813,1513.62302,4.144073978,3.098,Asteroid,AMO,Y,N
499496 (2010 MR87),499496,1.056688496,2.411113485,1.73390099,0.390571606,34.99472351,195.2761049,132.4983836,2460435.824,0.150237,833.9401221,2.28320362,3.872,Asteroid,AMO,Y,N
219527 (2001 QK142),219527,1.148782754,3.81962937,2.484206062,0.537565433,5.781881141,40.47317169,319.6391504,2460724.998,0.160674,1430.144278,3.915521636,3.254,Asteroid,AMO,Y,N
162741 (2000 WG6),162741,1.160662775,3.477392417,2.319027596,0.499504544,11.84685523,60.72907396,330.0981594,2459597.751,0.189727,1289.90374,3.531563969,3.376,Asteroid,AMO,Y,N
370688 (2004 GD28),370688,1.167497059,4.164405597,2.665951328,0.562071127,25.0406873,219.2098945,92.65259777,2459631.257,0.446384,1589.925414,4.352978547,3.025,Asteroid,AMO,Y,N
424089 (2007 DU103),424089,1.230714567,3.696543243,2.463628905,0.500446449,23.19901222,338.2466969,294.6232262,2460041.423,0.374238,1412.411885,3.86697299,3.207,Asteroid,AMO,Y,N
523594 (2001 YO3),523594,1.117363448,1.561762949,1.339563198,0.16587478,13.12508576,272.7525969,129.6299711,2460142.616,0.173311,566.2956667,1.550433037,4.859,Asteroid,AMO,Y,N
 48603 (1995 BC2),48603,1.093104267,2.742114569,1.917609418,0.429965113,5.025430456,328.2304764,81.80455594,2460323.329,0.136025,969.9261262,2.655513008,3.805,Asteroid,AMO,Y,N
354030 (2001 RB18),354030,1.081249401,3.61469541,2.347972406,0.539496547,4.180039939,198.2476782,175.3405501,2460076.286,0.08163,1314.128729,3.597888375,3.344,Asteroid,AMO,Y,N
 31346 (1998 PB1),31346,1.157400217,2.901703576,2.029551896,0.429726227,5.961869819,299.7269229,350.4956873,2460517.14,0.141589,1056.084499,2.891401777,3.686,Asteroid,AMO,Y,N
 14402 (1991 DB),14402,1.025992133,2.404383143,1.715187638,0.401819305,11.41558631,158.21431,51.39070166,2459858.317,0.10186,820.4760033,2.246340872,4.064,Asteroid,AMO,Y,N
496837 (1998 SB15),496837,1.028445054,1.424417858,1.226431456,0.161432912,15.62676092,6.753734315,67.66490589,2460087.535,0.111851,496.0932846,1.35822939,5.166,Asteroid,AMO,Y,N
413091 (2001 UV16),413091,1.085956265,3.290283931,2.188120098,0.503703537,38.05667036,30.72119095,92.4089503,2460633.522,0.442581,1182.238667,3.236793066,3.26,Asteroid,AMO,Y,N
326332 (2000 GS146),326332,1.047295902,1.561496376,1.304396139,0.197102881,46.85184678,33.67544615,80.75652014,2460234.701,0.213397,544.1425453,1.489781096,4.66,Asteroid,AMO,Y,N
142563 (2002 TR69),142563,1.088910354,2.230554311,1.659732332,0.343924118,20.49228067,341.9767875,192.2727203,2459896.779,0.100913,781.0080466,2.138283495,4.129,Asteroid,AMO,Y,N
189973 (2003 XE11),189973,1.148697267,2.540382054,1.844539661,0.377244474,26.96136998,223.4665861,173.2069154,2460319.522,0.158433,915.0196559,2.505187285,3.804,Asteroid,AMO,Y,N
508796 (2000 KN44),508796,1.194011623,4.2478273,2.720919462,0.561173478,26.28578619,75.14225209,97.62071307,2459808.764,0.453006,1639.351028,4.488298502,2.986,Asteroid,AMO,Y,N
162581 (2000 SA10),162581,1.080892432,2.253498643,1.667195538,0.35167027,15.89190422,200.3190825,248.1901733,2460557.527,0.211429,786.2818226,2.152722307,4.14,Asteroid,AMO,Y,N
386298 (2008 SR7),386298,1.067886401,1.576990238,1.322438319,0.192486798,15.31334546,324.5314053,296.860782,2460164.925,0.134865,555.4712227,1.520797324,4.889,Asteroid,AMO,Y,N
594769 (2017 XD62),594769,1.130365251,2.155439721,1.642902486,0.311970576,26.59254164,259.7895873,77.40032042,2460275.938,0.306585,769.1589661,2.105842481,4.122,Asteroid,AMO,Y,N
259802 (2004 BJ86),259802,1.175310388,2.333872526,1.754591457,0.330151539,31.42524245,124.0949253,65.37228172,2459919.536,0.340112,848.9115503,2.324193156,3.901,Asteroid,AMO,Y,N
  1917 Cuyo (1968 AA),1917,1.062613722,3.236452402,2.149533062,0.505653697,23.96108231,188.2843142,194.5472553,2460488.86,0.0719011,1151.104153,3.151551412,3.434,Asteroid,AMO,Y,N
504505 (2008 MH1),504505,1.14821842,4.267146364,2.707682392,0.575940508,7.732297626,303.3767406,15.58915321,2459593.482,0.13803,1627.402609,4.455585514,3.09,Asteroid,AMO,Y,N
410622 (2008 QF),410622,1.294098985,2.860524253,2.077311619,0.377031846,3.78550426,192.554098,136.5308185,2460172.364,0.287329,1093.580864,2.99406123,3.673,Asteroid,AMO,Y,N
516420 (2003 FS2),516420,1.202203311,3.636151851,2.419177581,0.503052888,13.33852584,191.9402616,28.19643736,2459591.008,0.217471,1374.358557,3.762788656,3.298,Asteroid,AMO,Y,N
619492 (2004 KZ14),619492,1.05625047,2.018438614,1.537344542,0.312938355,7.893148656,200.1801183,310.7998811,2459998.986,0.102228,696.234023,1.906184868,4.407,Asteroid,AMO,Y,N
474425 (2002 YF4),474425,1.16947553,2.340582598,1.755029064,0.333643212,33.68109386,61.65903054,93.57723225,2460347.561,0.429624,849.2291565,2.325062715,3.876,Asteroid,AMO,Y,N
318050 (2004 FC32),318050,1.271267299,2.574686225,1.922976762,0.338906572,10.93210202,80.82176987,172.8092444,2459999,0.256526,974.0011755,2.666669885,3.829,Asteroid,AMO,Y,N
455192 (2000 QN130),455192,1.220479432,4.544885453,2.882682443,0.57661676,2.682376625,100.0104169,306.1718753,2460876.04,0.232979,1787.695847,4.894444483,3.02,Asteroid,AMO,Y,N
514846 (2008 EQ7),514846,1.095942763,1.726213952,1.411078357,0.223329621,5.967216672,142.4151234,65.43512054,2460081.109,0.131825,612.2448253,1.676234977,4.697,Asteroid,AMO,Y,N
399446 (2002 GF1),399446,1.237258657,2.897984229,2.067621443,0.401602909,1.821497762,66.75207021,154.5868461,2460007.275,0.228485,1085.937844,2.97313578,3.671,Asteroid,AMO,Y,N
518646 (2008 QD1),518646,1.247764834,3.258788419,2.253276627,0.446244274,6.913089773,72.68456805,261.1408524,2459639.703,0.271625,1235.435836,3.382438975,3.478,Asteroid,AMO,Y,N
475665 (2006 VY13),475665,1.128417621,4.711452704,2.919935162,0.613547028,4.673230363,139.8636396,17.57850302,2459618.166,0.139235,1822.460981,4.989626232,2.961,Asteroid,AMO,Y,N
523795 (2015 TQ178),523795,1.106184014,3.168237572,2.137210793,0.482416981,3.705608632,262.830197,46.83373205,2460635.485,0.102614,1141.220239,3.124490729,3.555,Asteroid,AMO,Y,N
483878 (2005 YS165),483878,1.093873238,2.843653494,1.968763366,0.44438562,33.97954804,86.0738085,10.30796883,2459822.538,0.113852,1008.994285,2.762475796,3.557,Asteroid,AMO,Y,N
499490 (2010 MW),499490,1.205114686,3.350655008,2.277884847,0.470950128,21.35373246,246.2562502,105.6288651,2460528.701,0.386378,1255.729437,3.437999827,3.372,Asteroid,AMO,Y,N
170891 (2004 TY16),170891,1.177936247,2.785755807,1.981846027,0.40563685,8.155108596,329.8544956,177.455963,2460641.274,0.188302,1019.068301,2.790056949,3.742,Asteroid,AMO,Y,N
416851 (2005 MM13),416851,1.15539039,2.234443424,1.694916907,0.318320335,22.9943941,100.5384805,254.8049008,2460123.883,0.310143,805.9740232,2.206636614,4.066,Asteroid,AMO,Y,N
341050 (2007 HZ),341050,1.139843418,1.518589046,1.329216232,0.142469532,7.420578489,208.3133808,259.102797,2460239.106,0.201642,559.747137,1.53250414,4.907,Asteroid,AMO,Y,N
477492 (2010 CG19),477492,1.271641228,1.854951523,1.563296376,0.186564206,61.93361492,148.9692447,117.5041342,2460434.146,0.370098,713.9378523,1.954655311,3.835,Asteroid,AMO,Y,N
152895 (2000 CQ101),152895,1.155639926,3.421084052,2.288361989,0.494992518,2.969710006,29.75885164,174.3044584,2460545.957,0.151034,1264.402992,3.461746726,3.425,Asteroid,AMO,Y,N
  4957 Brucemurray (1990 XJ),4957,1.222910187,1.908049578,1.565479882,0.218827274,35.01054812,254.8811116,97.50489333,2460301.519,0.424412,715.4341447,1.958751936,4.201,Asteroid,AMO,Y,N
248926 (2006 WZ2),248926,1.134745383,2.253838214,1.694291798,0.330253865,24.65256294,354.3631739,65.98130699,2460416.859,0.275745,805.528183,2.20541597,4.05,Asteroid,AMO,Y,N
430802 (2004 XK4),430802,1.183607492,2.47077784,1.827192666,0.352226224,8.447371999,69.25311941,50.83888704,2460620.821,0.228676,902.1420825,2.469930411,3.945,Asteroid,AMO,Y,N
477719 (2010 SG15),477719,1.087921322,3.069285579,2.07860345,0.476609489,0.82808807,182.2512505,199.6126107,2459866.587,0.0902573,1094.601131,2.996854568,3.614,Asteroid,AMO,Y,N
 27031 (1998 RO4),27031,1.230627871,3.048738275,2.139683073,0.42485507,5.355961451,191.8445353,111.8694438,2460147.683,0.235538,1143.20102,3.129913813,3.588,Asteroid,AMO,Y,N
410650 (2008 SQ1),410650,1.226693789,4.678338646,2.952516218,0.584525978,6.721089684,269.8523337,151.0048024,2460365.904,0.246229,1853.048834,5.073371208,2.976,Asteroid,AMO,Y,N
320378 (2007 UR3),320378,1.117579888,2.002292453,1.559936171,0.283573322,1.312496038,156.0748752,316.2597654,2460192.771,0.133763,711.6372443,1.948356589,4.385,Asteroid,AMO,Y,N
 27346 (2000 DN8),27346,1.127028948,2.623461957,1.875245453,0.398996571,36.94342117,135.2024982,269.2604243,2459831.503,0.443681,937.9627869,2.568002154,3.655,Asteroid,AMO,Y,N
477490 (2010 CG18),477490,1.113458048,1.764014889,1.438736469,0.226086172,10.15454459,78.78646835,351.5901607,2460232.37,0.128631,630.3333782,1.725758736,4.625,Asteroid,AMO,Y,N
152952 (2000 GC2),152952,1.124893335,1.642212114,1.383552725,0.186953041,55.2971985,358.6903159,280.234519,2460097.233,0.279539,594.4180625,1.62742796,4.338,Asteroid,AMO,Y,N
415746 (2000 JN10),415746,1.289560375,3.226830577,2.258195476,0.428942096,21.4508525,47.10342939,254.6334625,2460447.736,0.443838,1239.483433,3.393520693,3.412,Asteroid,AMO,Y,N
251732 (1998 HG49),251732,1.065541948,1.335592602,1.200567275,0.112467939,4.195234463,44.80579674,324.2830043,2460268.583,0.0763792,480.4831684,1.315491221,5.286,Asteroid,AMO,Y,N
431776 (2008 JQ24),431776,1.297988582,3.262508049,2.280248316,0.430768757,9.591691311,87.80191588,238.2072279,2459826.182,0.323262,1257.684308,3.443351972,3.46,Asteroid,AMO,Y,N
 88188 (2000 XH44),88188,1.223227274,2.793735421,2.008481347,0.390969065,11.34216464,340.1288246,195.3657082,2460361.489,0.2329,1039.681057,2.8464916,3.712,Asteroid,AMO,Y,N
 67367 (2000 LY27),67367,1.030267264,1.586811496,1.30853938,0.212658572,9.023384782,264.5124593,184.8108659,2460222.406,0.0457222,546.7371981,1.496884868,4.944,Asteroid,AMO,Y,Y
427621 (2003 UN12),427621,1.286902743,3.026812629,2.156857686,0.403343693,6.898776381,40.48881832,257.9286454,2459722.094,0.301698,1156.992816,3.167673692,3.582,Asteroid,AMO,Y,N
  1916 Boreas (1953 RA),1916,1.250583655,3.293876688,2.272230171,0.449622811,12.88159802,340.6006889,335.8883768,2459627.317,0.251822,1251.056461,3.425205917,3.441,Asteroid,AMO,Y,N
137911 (2000 AB246),137911,1.166579548,3.443518133,2.30504884,0.49390246,3.757611684,29.36887477,312.3694822,2460440.815,0.166573,1278.25831,3.499680519,3.412,Asteroid,AMO,Y,N
467475 (2006 RG7),467475,1.224826011,2.54528911,1.885057561,0.350244769,22.02471063,180.9786027,192.1201585,2460650.013,0.227347,945.3341585,2.58818387,3.806,Asteroid,AMO,Y,N
439854 (1998 XA5),439854,1.079795341,2.036890556,1.558342949,0.307087479,31.75532691,274.160541,211.3084148,2460441.11,0.129737,710.5472895,1.945372456,4.225,Asteroid,AMO,Y,N
506425 (2000 DQ110),506425,1.243515811,5.478059566,3.360787688,0.62999275,58.2704575,347.8207,95.4036664,2460463.653,0.706168,2250.401679,6.161264009,2.205,Asteroid,AMO,Y,N
430439 (2000 LF6),430439,1.20228928,4.704155438,2.953222359,0.592889009,15.59962667,87.55799918,151.3480856,2460881.733,0.214253,1853.713653,5.075191384,2.931,Asteroid,AMO,Y,N
137125 (1999 CT3),137125,1.238618386,1.614911225,1.426764805,0.13186926,34.2334322,321.9183607,268.2099241,2460080.528,0.379418,622.4823025,1.704263662,4.505,Asteroid,AMO,Y,N
620844 (2006 SA7),620844,1.270547853,2.705542965,1.988045409,0.36090602,35.58312941,0.558244525,265.215802,2459974.134,0.551774,1023.853635,2.803158482,3.555,Asteroid,AMO,Y,N
613775 (2007 RU12),613775,1.260393486,3.321599663,2.290996575,0.449849249,7.016085935,56.22413254,334.7209306,2460727.952,0.271665,1266.587176,3.467726698,3.448,Asteroid,AMO,Y,N
 26663 (2000 XK47),26663,0.816845324,2.275664608,1.546254966,0.471726629,13.52746637,303.6066636,231.2167055,2460388.329,0.0355171,702.2958271,1.922781183,4.3,Asteroid,APO,Y,Y
387717 (2003 DN4),387717,0.598914448,1.691139172,1.14502681,0.47694286,36.31799658,157.7896929,141.6095705,2460423.288,0.286981,447.5297494,1.225269677,5.209,Asteroid,APO,Y,N
504711 (2009 SP171),504711,0.873061694,1.838215332,1.355638513,0.355977507,25.6249074,223.0820461,285.2160719,2460472.861,0.0599222,576.5198628,1.57842536,4.698,Asteroid,APO,Y,N
177016 (2003 BM47),177016,0.484998467,1.835446814,1.160222641,0.581978105,13.80552484,137.5820272,155.3484649,2460106.029,0.157262,456.4680985,1.249741543,5.231,Asteroid,APO,Y,N
543319 (2013 YE38),543319,0.775283613,3.356724015,2.066003814,0.624742409,34.17169939,79.6156177,281.8220849,2459843.053,0.092999,1084.663698,2.96964736,3.333,Asteroid,APO,Y,N
154993 (2005 EA94),154993,0.50990567,2.523160122,1.516532896,0.663768803,10.32348333,104.0715388,309.0085953,2460212.87,0.0748761,682.1441828,1.867608988,4.226,Asteroid,APO,Y,N
620090 (2015 FP332),620090,0.914944411,4.789799813,2.852372112,0.679233854,36.51616207,126.9312355,173.2247712,2460809.746,0.097441,1759.574661,4.817452871,2.698,Asteroid,APO,Y,N
