<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: part-04.csv>
47, 32242 Jagota (2000 OE40),32242,2.093206868,2.571145191,2.33217603,0.102466177,7.537328428,234.328133,327.1777319,2460475.665,1.09213,1300.889528,3.561641419,3.552,Asteroid,MBA,N,N
48,516378 (2017 RT3),516378,2.10498654,2.649658311,2.377322426,0.114555721,4.171270002,70.3368033,228.1028607,2460508.803,1.09131,1338.845791,3.665560002,3.528,Asteroid,MBA,N,N
49, 97554 (2000 DB65),97554,2.589486803,3.430235749,3.009861276,0.13966573,1.519272607,172.4285742,313.0550206,2460991.856,1.60377,1907.296211,5.221892434,3.234,Asteroid,MBA,N,N
50,261780 (2006 BE124),261780,2.661865364,3.661963913,3.161914639,0.15814762,0.425693424,43.94138089,353.7862071,2459360.215,1.66833,2053.636803,5.622551138,3.185,Asteroid,MBA,N,N
51,414341 (2008 SQ252),414341,2.587597836,3.746691162,3.167144499,0.182987124,2.369618616,160.3687724,232.9250159,2460994.948,1.59375,2058.734035,5.636506597,3.176,Asteroid,MBA,N,N
52,368759 (2005 VF49),368759,2.236493416,2.993708681,2.615101048,0.144777439,10.8926453,272.1472744,161.3607761,2459946.923,1.25329,1544.653736,4.229031446,3.367,Asteroid,MBA,N,N
53, 54785 (2001 MZ3),54785,1.990211712,2.642019497,2.316115604,0.14071141,6.488175458,269.0272863,61.93513022,2460016.784,0.988114,1287.474914,3.524914206,3.559,Asteroid,MBA,N,N
54,354863 (2006 AL23),354863,1.815354955,2.784210026,2.299782491,0.210640588,4.196849657,300.2356933,90.50786933,2459893.68,0.825833,1273.880154,3.487693781,3.559,Asteroid,MBA,N,N
55,303759 (2005 QG135),303759,2.395931931,3.707642577,3.051787254,0.214908599,1.213755656,77.85430995,212.9819128,2459242.197,1.37918,1947.286303,5.331379337,3.201,Asteroid,MBA,N,N
56,296162 (2009 BX126),296162,2.786475723,3.00535963,2.895917677,0.037791804,1.251311308,208.2756303,330.1296276,2460453.443,1.78812,1800.021716,4.928190873,3.287,Asteroid,MBA,N,N
57,335227 (2005 GW88),335227,2.919964251,3.326310546,3.123137399,0.065054182,8.030576971,209.9549489,205.0220286,2460704.022,1.93185,2015.974634,5.519437738,3.197,Asteroid,MBA,N,N
58,583665 (2016 LQ70),583665,2.724515681,3.478507822,3.101511752,0.121552359,11.57080502,260.6381127,27.42847902,2459488.01,1.71327,1995.072,5.462209444,3.179,Asteroid,MBA,N,N
59,  3545 Gaffey (1981 WK2),3545,2.711329215,3.029901101,2.870615158,0.055488435,2.97149053,61.23366522,255.6760404,2460601.1,1.69908,1776.482312,4.863743495,3.294,Asteroid,MBA,N,N
60,205696 (2001 YB139),205696,2.038066138,2.658285292,2.348175715,0.132064042,1.894964498,208.9919231,285.3008207,2460227.12,1.05172,1314.299417,3.598355693,3.547,Asteroid,MBA,N,N
61,392850 (2012 UA58),392850,2.482187168,2.965846146,2.724016657,0.088776803,5.442274514,25.81965325,64.18891422,2459693.853,1.50317,1642.15091,4.495964161,3.345,Asteroid,MBA,N,N
62,501801 (2014 WU24),501801,1.992625381,2.652524935,2.322575158,0.142062045,0.936603696,245.124021,160.3102378,2460829.683,1.00093,1292.864741,3.53967075,3.563,Asteroid,MBA,N,N
63, 18642 (1998 EF12),18642,1.935935169,2.650073401,2.293004285,0.155721085,4.932211524,36.69078012,122.8785745,2459740.157,0.948171,1268.252498,3.472286099,3.576,Asteroid,MBA,N,N
64,196496 (2003 LB3),196496,2.236446085,2.442288484,2.339367284,0.043995314,2.877751871,51.49731443,174.3416889,2460626.117,1.22553,1306.911095,3.578127571,3.562,Asteroid,MBA,N,N
65,160373 (2004 FU63),160373,2.015663076,2.746845925,2.3812545,0.153528917,2.435584763,83.24770929,165.9922805,2459957.715,1.00096,1342.168827,3.674657978,3.521,Asteroid,MBA,N,N
66,273114 (2006 FD35),273114,2.720407916,3.598431425,3.15941967,0.138953289,7.854029905,32.34778358,187.2091767,2460125.494,1.712,2051.206591,5.615897581,3.176,Asteroid,MBA,N,N
67,119176 (2001 QS55),119176,1.932586218,2.811859387,2.372222803,0.185326852,2.33820015,86.05499542,308.7341074,2460308.275,0.939358,1334.540141,3.653771775,3.519,Asteroid,MBA,N,N
68,527952 (2008 EH10),527952,2.357266849,3.820939527,3.089103188,0.236908997,9.775527953,139.2936856,123.8148175,2460842.779,1.35773,1983.111122,5.429462347,3.16,Asteroid,MBA,N,N
69,576783 (2012 UD171),576783,1.835034958,2.959786525,2.397410742,0.234576318,12.93313055,130.5423558,259.6532599,2460296.968,0.889323,1355.85141,3.712118851,3.457,Asteroid,MBA,N,N
70,591657 (2014 AU58),591657,2.247269387,3.208665581,2.727967484,0.17621108,15.77110688,135.1947222,27.49459325,2460075.457,1.26655,1645.724789,4.50574891,3.279,Asteroid,MBA,N,N
71,443948 (2002 XO32),443948,2.330319034,3.240954381,2.785636707,0.163451922,24.24550711,277.0742465,155.1283794,2459406.32,1.35949,1698.185553,4.649378652,3.184,Asteroid,MBA,N,N
